"valor"	"cap"	"div"
"ABE"	7793	12.04
"ABG"	1473	1.23
"ACS"	7930	8.13
"ACX"	2217	5.06
"AMS"	5910	2.27
"ANA"	3760	5.24
"BBVA"	24819	8.34
"BKT"	1646	5.85
"BME"	1589	10.38
"CABK"	11644	6.48
"ELE"	17215	3.08
"ENG"	3092	6.47
"EVA"	1971	6.7
"FCC"	2026	8.99
"FER"	5780	5.33
"GAM"	838	0.2
"GAS"	11022	7.24
"GRF"	2978	NA
"IBE"	25989	7.51
"ICAG"	3193	NA
"IDR"	1904	5.86
"ITX"	36571	2.39
"MAP"	6446	7.17
"MTS"	20577	1.82
"OHL"	1721	2.84
"POP"	4392	5.58
"REE"	4239	5.98
"REP"	22885	5.6
"SAB"	3433	5.67
"SAN"	44430	11.38
"SYV"	1823	2.32
"TEF"	57917	11.03
"TL5"	1652	8.62
"TRE"	1336	5.61
