prov,pop,lat,lon
Almería,702819,"36,840164","-2,467922"
Cádiz,1243519,"36,529688","-6,292657"
Córdoba,805857,"37,892196","-4,790039"
Granada,924550,"37,176487","-3,597929"
Huelva,521968,"37,257153","-6,949522"
Jaén,670600,"37,765739","-3,789518"
Málaga,1625827,"36,719648","-4,420016"
Sevilla,1928962,"37,38264","-5,996295"
Huesca,228361,"42,140102","-0,408898"
Teruel,144607,"40,34411","-1,10691"
Zaragoza,973325,"41,656287","-0,876538"
Oviedo,1081487,"43,360299","-5,844781"
Santander,593121,"43,46096","-3,807934"
Ávila,172704,"40,656422","-4,700322"
Burgos,375657,"42,340892","-3,699762"
León,497799,"42,593533","-5,581055"
Palencia,171668,"42,012458","-4,531175"
Salamanca,352986,"40,964968","-5,663025"
Segovia,164169,"40,949427","-4,119209"
Soria,95223,"41,763598","-2,464921"
Valladolid,534874,"41,652943","-4,728381"
Zamora,193383,"41,503683","-5,743778"
Albacete,402318,"38,997652","-1,86007"
Ciudad Real,530175,"38,986108","-3,927252"
Cuenca,219138,"40,061257","-2,131348"
Guadalajara,256461,"40,626461","-3,164063"
Toledo,707242,"39,850721","-4,042969"
Barcelona,5529099,"41,387917","2,169919"
Girona,756810,"41,981796","2,8237"
Lleida,442308,"41,614152","0,625783"
Tarragona,811401,"41,118663","1,24533"
Alicante/Alacant,1934127,"38,34521","-0,480994"
Castellón/Castelló,604344,"39,986068","-0,036024"
Valencia/València,2578719,"39,470239","-0,376805"
Badajoz,693921,"38,878597","-6,970283"
Cáceres,415446,"39,476179","-6,37076"
"Coruña, A",1147124,"43,370873","-8,395835"
Lugo,351530,"43,012087","-7,555851"
Ourense,333257,"42,340009","-7,864641"
Pontevedra,963511,"42,433619","-8,648053"
Madrid,6489680,"40,416691","-3,700345"
Murcia,1470069,"37,983445","-1,12989"
Pamplona,642051,"42,817988","-1,644184"
Vitoria,319227,"42,843751","-2,702637"
Bilbao,1155772,"43,256963","-2,923441"
San Sebastián,709607,"43,320812","-1,984447"
Logroño,322955,"42,465776","-2,449995"

