"","BE040301","BE040302","BE040303","BE040304","BE040305","BE040306","BE040307","BE040308","BE040309","BE040310","BE040311","BE040312","BE040313"
"ENE 1962",1766218,"_","_",570439,144333,"_",977432,0,"_",69375,"_",4640,"_"
"FEB 1962",1797273,"_","_",587585,147981,"_",987463,0,"_",69531,"_",4712,"_"
"MAR 1962",1830166,"_","_",600297,150487,"_",1004844,0,"_",69723,"_",4814,"_"
"ABR 1962",1867152,"_","_",614409,152705,"_",1025297,0,"_",69862,"_",4880,"_"
"MAY 1962",1905112,"_","_",630930,155109,"_",1043952,0,"_",70114,"_",5006,"_"
"JUN 1962",1941966,"_","_",640727,157297,"_",1068503,0,"_",70324,"_",5115,"_"
"JUL 1962",1978724,"_","_",648516,157327,"_",1097166,0,"_",70511,"_",5205,"_"
"AGO 1962",2021348,"_","_",660158,158499,"_",1126687,0,"_",70703,"_",5301,"_"
"SEP 1962",2065955,"_","_",677244,158631,"_",1132427,0,"_",92261,"_",5391,"_"
"OCT 1962",2116224,"_","_",702763,167394,"_",1153595,0,"_",86960,"_",5511,"_"
"NOV 1962",2154472,"_","_",728475,169443,"_",1162532,0,"_",88361,"_",5662,"_"
"DIC 1962",2201039,"_","_",749823,173813,"_",1179967,0,"_",91552,"_",5884,"_"
"ENE 1963",2213894,"_","_",743434,176806,"_",1194403,0,"_",93235,"_",6016,"_"
"FEB 1963",2242298,"_","_",756650,184306,"_",1210078,0,"_",85061,"_",6202,"_"
"MAR 1963",2293282,"_","_",780552,192823,"_",1227399,0,"_",86077,"_",6431,"_"
"ABR 1963",2344506,"_","_",797026,198785,"_",1252064,0,"_",89990,"_",6641,"_"
"MAY 1963",2388753,"_","_",802712,203725,"_",1281202,0,"_",94245,"_",6870,"_"
"JUN 1963",2424291,"_","_",803493,208870,"_",1306552,0,"_",98290,"_",7086,"_"
"JUL 1963",2448962,"_","_",801155,211388,"_",1327570,0,"_",101541,"_",7308,"_"
"AGO 1963",2466932,"_","_",791707,215529,"_",1348082,0,"_",104125,"_",7489,"_"
"SEP 1963",2505103,"_","_",816102,218756,"_",1356887,0,"_",105676,"_",7681,"_"
"OCT 1963",2557072,"_","_",842895,227826,"_",1375651,0,"_",102791,"_",7909,"_"
"NOV 1963",2583901,"_","_",875488,237165,"_",1361437,0,"_",101637,"_",8174,"_"
"DIC 1963",2645060,"_","_",900989,245369,"_",1379804,0,"_",110412,"_",8486,"_"
"ENE 1964",2626609,"_","_",889901,243692,"_",1378547,0,"_",105838,"_",8631,"_"
"FEB 1964",2637397,"_","_",910269,245429,"_",1367615,0,"_",105213,"_",8871,"_"
"MAR 1964",2669065,"_","_",918413,250814,"_",1384960,0,"_",105790,"_",9087,"_"
"ABR 1964",2725872,"_","_",947255,253952,"_",1408995,0,"_",106373,"_",9298,"_"
"MAY 1964",2771225,"_","_",961205,258219,"_",1430204,0,"_",112041,"_",9556,"_"
"JUN 1964",2837769,"_","_",980617,260599,"_",1464907,0,"_",121879,"_",9766,"_"
"JUL 1964",2857314,"_","_",975431,265010,"_",1479421,0,"_",127427,"_",10025,"_"
"AGO 1964",2892425,"_","_",982943,265347,"_",1509532,0,"_",124434,"_",10169,"_"
"SEP 1964",2929694,"_","_",999766,268989,"_",1522406,0,"_",128184,"_",10349,"_"
"OCT 1964",2987667,"_","_",1035123,273971,"_",1544072,0,"_",123959,"_",10542,"_"
"NOV 1964",3061075,"_","_",1072987,280961,"_",1573606,0,"_",122703,"_",10818,"_"
"DIC 1964",3156401,"_","_",1133022,286905,"_",1594112,0,"_",131285,"_",11077,"_"
"ENE 1965",3151653,"_","_",1114871,290367,"_",1589395,0,"_",145763,"_",11257,"_"
"FEB 1965",3186398,"_","_",1141340,293841,"_",1601625,0,"_",138119,"_",11473,"_"
"MAR 1965",3248140,"_","_",1164124,300085,"_",1629753,0,"_",142380,"_",11798,"_"
"ABR 1965",3327173,"_","_",1202920,307400,"_",1661955,0,"_",142782,"_",12116,"_"
"MAY 1965",3403249,"_","_",1228168,311925,"_",1703449,0,"_",147230,"_",12477,"_"
"JUN 1965",3485870,"_","_",1249324,314960,"_",1741871,0,"_",167015,"_",12699,"_"
"JUL 1965",3598794,"_","_",1279218,322161,"_",1812526,0,"_",171907,"_",12982,"_"
"AGO 1965",3657802,"_","_",1289652,325550,"_",1865229,0,"_",164203,"_",13168,"_"
