"ENE 1962",66340,3684,"_",3684,"_","_",62656
"FEB 1962",66778,3642,"_",3642,"_","_",63136
"MAR 1962",67127,3504,"_",3504,"_","_",63623
"ABR 1962",67476,3366,"_",3366,"_","_",64110
"MAY 1962",67950,3354,"_",3354,"_","_",64597
"JUN 1962",68732,3648,"_",3648,"_","_",65084
"JUL 1962",69068,3498,"_",3498,"_","_",65570
"AGO 1962",69603,3546,"_",3546,"_","_",66057
"SEP 1962",70078,3528,"_",3528,"_","_",66550
"OCT 1962",70757,3714,"_",3714,"_","_",67043
"NOV 1962",71292,3756,"_",3756,"_","_",67536
"DIC 1962",72272,4243,"_",4243,"_","_",68029
"ENE 1963",72416,4039,"_",4039,"_","_",68377
"FEB 1963",71869,3895,"_",3895,"_","_",67974
"MAR 1963",73083,3871,"_",3871,"_","_",69213
"ABR 1963",73161,3901,"_",3901,"_","_",69261
"MAY 1963",73756,4826,"_",4826,"_","_",68930
"JUN 1963",74345,4844,"_",4844,"_","_",69501
"JUL 1963",75114,4946,"_",4946,"_","_",70168
"AGO 1963",74958,5012,"_",5012,"_","_",69946
"SEP 1963",76665,5547,"_",5547,"_","_",71118
"OCT 1963",77086,5535,"_",5535,"_","_",71550
"NOV 1963",77458,5535,"_",5535,"_","_",71923
"DIC 1963",79868,7002,"_",7002,"_","_",72867
"ENE 1964",81720,6791,"_",6791,"_","_",74928
"FEB 1964",83390,7068,"_",7068,"_","_",76323
"MAR 1964",83895,6942,"_",6942,"_","_",76954
"ABR 1964",84238,6827,"_",6827,"_","_",77410
"MAY 1964",86017,6906,"_",6906,"_","_",79111
"JUN 1964",86906,6846,"_",6846,"_","_",80061
"JUL 1964",90657,6948,"_",6948,"_","_",83709
"AGO 1964",92550,7074,"_",7074,"_","_",85476
"SEP 1964",94106,7074,"_",7074,"_","_",87033
"OCT 1964",93998,7074,"_",7074,"_","_",86924
"NOV 1964",95002,7290,"_",7290,"_","_",87712
"DIC 1964",98873,7777,"_",7777,"_","_",91095
"ENE 1965",99510,7981,"_",7981,"_","_",91528
"FEB 1965",101168,8348,"_",8348,"_","_",92820
"MAR 1965",103981,8174,"_",8174,"_","_",95807
"ABR 1965",104462,8294,"_",8294,"_","_",96168
"MAY 1965",105970,8354,"_",8354,"_","_",97616
"JUN 1965",105538,8102,"_",8102,"_","_",97436
"JUL 1965",106133,8042,"_",8042,"_","_",98091
"AGO 1965",107557,8060,"_",8060,"_","_",99498
"SEP 1965",109871,8264,"_",8264,"_","_",101607
"OCT 1965",110087,8366,"_",8366,"_","_",101721
"NOV 1965",114198,8480,"_",8480,"_","_",105718
"DIC 1965",117744,8492,"_",8492,"_","_",109252
"ENE 1966",119229,8582,"_",8582,"_","_",110646
"FEB 1966",119836,8871,"_",8871,"_","_",110965
"MAR 1966",120936,9003,"_",9003,"_","_",111933
"ABR 1966",121188,8925,"_",8925,"_","_",112263
"MAY 1966",123736,9081,"_",9081,"_","_",114655
"JUN 1966",124938,9015,"_",9015,"_","_",115923
"JUL 1966",126862,9105,"_",9105,"_","_",117756
"AGO 1966",127715,9045,"_",9045,"_","_",118670
"SEP 1966",131183,8967,"_",8967,"_","_",122216
"OCT 1966",133238,9298,"_",9298,"_","_",123941
"NOV 1966",137433,9430,"_",9430,"_","_",128004
"DIC 1966",140835,9394,"_",9394,"_","_",131441
"ENE 1967",141490,9472,"_",9472,"_","_",132018
"FEB 1967",143245,9796,"_",9796,"_","_",133449
"MAR 1967",143041,9863,"_",9863,"_","_",133178
"ABR 1967",143942,9887,"_",9887,"_","_",134056
"MAY 1967",146941,10211,"_",10211,"_","_",136730
"JUN 1967",150007,10013,"_",10013,"_","_",139994
"JUL 1967",154833,10265,"_",10265,"_","_",144568
"AGO 1967",156329,10379,"_",10379,"_","_",145950
"SEP 1967",156834,10199,"_",10199,"_","_",146635
"OCT 1967",160056,10205,"_",10205,"_","_",149850
"NOV 1967",161450,9935,"_",9935,"_","_",151515
"DIC 1967",163884,9935,"_",9935,"_","_",153949
"ENE 1968",166036,9736,"_",9736,"_","_",156299
"FEB 1968",166745,9742,"_",9742,"_","_",157002
"MAR 1968",169654,9664,"_",9664,"_","_",159989
"ABR 1968",172262,9640,"_",9640,"_","_",162622
"MAY 1968",175471,9682,"_",9682,"_","_",165789
"JUN 1968",177052,9580,"_",9580,"_","_",167472
"JUL 1968",178669,9556,"_",9556,"_","_",169113
"AGO 1968",180574,9592,"_",9592,"_","_",170982
"SEP 1968",183507,9598,"_",9598,"_","_",173909
"OCT 1968",187726,9598,"_",9598,"_","_",178128
"NOV 1968",189746,9851,"_",9851,"_","_",179895
"DIC 1968",193328,9556,"_",9556,"_","_",183772
"ENE 1969",196489,9478,"_",9478,"_","_",187011
"FEB 1969",200041,9748,"_",9748,"_","_",190293
"MAR 1969",202775,9977,"_",9977,"_","_",192799
"ABR 1969",205366,10061,"_",10061,"_","_",195305
"MAY 1969",208058,10001,"_",10001,"_","_",198058
"JUN 1969",209645,9736,"_",9736,"_","_",199909
"JUL 1969",211767,9923,"_",9923,"_","_",201844
"AGO 1969",212494,9544,"_",9544,"_","_",202950
"SEP 1969",215884,9670,"_",9670,"_","_",206213
"OCT 1969",219063,9839,"_",9839,"_","_",209224
"NOV 1969",222855,9845,"_",9845,"_","_",213011
"DIC 1969",225067,10145,"_",10145,"_","_",214922
"ENE 1970",225584,9839,"_",9839,"_","_",215745
"FEB 1970",228108,9899,"_",9899,"_","_",218210
"MAR 1970",230692,10175,"_",10175,"_","_",220517
"ABR 1970",231949,10776,"_",10776,"_","_",221173
"MAY 1970",234166,10728,"_",10728,"_","_",223438
"JUN 1970",235356,10692,"_",10692,"_","_",224664
"JUL 1970",238542,10722,"_",10722,"_","_",227820
"AGO 1970",240994,10554,"_",10554,"_","_",230440
