"ca"	"year"	"edad.media"	"esperanza.vida"	"tasa.fecundidad"	"pib.capita"	"ratio.sexos"	"tasa.paro"	"tasa.suicidio"
"andalucía"	2002	37.98	78.496172	41.570191	6.51747153513937	97.2674835288001	20.15	8.97246909512582
"andalucía"	2003	38.12	78.377867	43.182628	7.28345005528936	97.6072599973295	18.35	9.7412226457003
"andalucía"	2004	38.3	78.890541	44.088025	6.65842094413522	97.7593245714903	15.99	9.05363733782477
"andalucía"	2005	38.45	78.920317	44.641158	6.48756603530474	98.2175368176407	13.8	8.87920824469518
"andalucía"	2006	38.62	79.630982	45.826059	6.17702220340008	98.5426825822663	12.22	9.11521938214109
"andalucía"	2007	38.8	79.662041	45.609909	5.17948717948717	98.4982333460913	13.96	8.79711434796942
"andalucía"	2008	38.94	79.932072	47.283156	0.899290319085533	98.5663516287717	21.66	10.0338688794009
"andalucía"	2009	39.09	80.304033	44.624129	-4.71409395973155	98.182210934852	26.27	9.03296345154592
"andalucía"	2010	39.32	80.757489	43.643069	-0.833943765143408	98.0771246621309	28.04	8.18303722087331
"andalucía"	2011	39.58	80.879209	42.622814	-1.59668162963804	98.0060021605522	31.01	7.72782665736953
"andalucía"	2012	39.89	80.907904	41.392778	-3.56854140200948	97.905824765206	35.71	9.24261995731353
"andalucía"	2013	40.15	81.494556	39.520905	-1.05988023952096	97.6814939692893	36.26	9.5731194388825
"aragón"	2002	42.99	80.382832	35.48223	7.31149187922084	98.1743751678562	6.54	9.69188033977433
"aragón"	2003	42.98	80.203573	37.332447	5.9655692515733	98.4400206491579	6.53	7.23524294970287
"aragón"	2004	43.02	80.444056	38.573644	5.69843918719939	98.7536384024431	5.56	8.56284971638561
"aragón"	2005	43.01	80.630121	38.618944	6.21314139772464	99.257158738159	5.76	8.0376540451858
"aragón"	2006	43.07	81.413076	40.28645	7.02575088532331	99.3519160065667	4.99	6.57549173327614
"aragón"	2007	43.05	81.391207	41.431031	6.78513071895424	99.5900926486049	5.12	7.78927316826758
"aragón"	2008	42.89	81.838171	43.384711	1.94713285643242	100.284974679819	9.71	7.53626071844681
"aragón"	2009	42.86	81.962222	41.522065	-4.72420262664165	100.322338585045	13.57	8.47285675743772
"aragón"	2010	43.01	82.181669	41.581956	0.834941514709953	99.8900459699845	16.29	7.05221235324903
"aragón"	2011	43.22	82.329026	40.95196	-1.46857790102722	99.4487464574441	16.8	6.61074520925237
"aragón"	2012	43.37	82.655561	39.413485	-3.75787846355096	99.163037270005	18.72	7.33622978553755
"aragón"	2013	43.58	83.07584	39.051789	0.794925655916634	98.940284687734	20.59	7.27461678358015
"asturias"	2002	44.16	79.520237	25.281259	6.17224218965995	92.1906568480955	10.12	12.5701718202819
"asturias"	2003	44.43	79.179055	26.9592	5.84597356942906	92.2259203912512	10.14	11.623787290272
"asturias"	2004	44.72	79.835453	27.660144	6.46411218402114	92.1843734003444	10.24	12.2001078452281
"asturias"	2005	44.93	79.904132	28.933048	8.49797804737147	92.1512530652893	9.3	11.5173666098539
"asturias"	2006	45.17	80.185956	29.726939	8.61508971833236	92.1145163045514	9.09	11.7931536564348
"asturias"	2007	45.4	80.372539	30.922574	6.66699348007256	92.087138338367	8	11.6293998671457
"asturias"	2008	45.56	80.703583	32.74912	2.65177627648328	92.2477115656042	10	10.4616261996152
"asturias"	2009	45.66	81.087879	33.132097	-5.48889684813754	92.2999505646089	14.13	10.7805386399383
"asturias"	2010	45.87	81.178466	31.847986	0.663192799621037	92.279838776889	16.61	13.7410648495261
"asturias"	2011	46.09	81.301727	32.471013	-1.67058823529412	92.1222704630886	18.84	11.095833791807
"asturias"	2012	46.34	81.517304	32.439162	-4.2833213687485	92.0633222804578	23.82	12.2521719759412
"asturias"	2013	46.62	82.192239	29.105376	-2.54	91.8334324080177	22.29	13.855537299949
"balears, illes"	2002	38.73	79.470068	45.090702	2.01354911554386	99.9411276026506	8.69	6.32519346367594
"balears, illes"	2003	38.76	79.775101	44.427204	1.06068990961077	100.239900404343	10.01	7.4945031513858
"balears, illes"	2004	38.79	80.265516	43.832915	3.63238112622069	100.219497315508	8.09	7.120083346858
"balears, illes"	2005	38.94	80.333329	43.005155	4.25803610744164	100.438949701217	7.5	7.12010912075807
"balears, illes"	2006	39.13	80.853682	44.52752	4.51493010094184	100.548117548777	6.34	6.792786061203
"balears, illes"	2007	39.2	81.258029	43.873474	3.05503919825427	100.884112291617	9.35	7.47101343812157
"balears, illes"	2008	39.22	81.194881	45.589769	0.843071131675943	101.492349502018	12.05	7.4568157159848
"balears, illes"	2009	39.34	81.153332	42.613284	-5.66551308472993	101.236711141974	19.45	9.49402332973656
"balears, illes"	2010	39.56	81.558538	42.356446	-0.7254740313273	100.791329684394	21.78	8.67954313054847
"balears, illes"	2011	39.85	81.929433	39.976644	-1.33698721142667	100.36721226489	25.49	7.81591103876153
"balears, illes"	2012	40.1	81.87255	39.0476	-1.64127598686979	100.132833227257	24.3	8.03974133472212
"balears, illes"	2013	40.23	82.62238	37.400635	-0.650350847167558	99.5569685013221	22.72	9.35526062496739
"canarias"	2002	36.99	78.593496	40.140315	4.27829822781789	100.320620772228	11.32	7.05082833673671
"canarias"	2003	37.23	78.605895	38.769043	4.29732204165714	100.576897224436	12.04	6.80786207799171
"canarias"	2004	37.5	78.769257	37.757104	3.02298787513029	100.604891494446	10.75	7.56966703905948
"canarias"	2005	37.84	79.100801	38.651094	4.35083608478006	100.834651293301	10.88	8.02731318714817
"canarias"	2006	38.17	79.607571	38.984052	4.22046440418475	100.699389303919	11.37	8.51774672530217
"canarias"	2007	38.42	79.779669	36.552688	3.64802663793948	100.498288894739	10.89	7.74944704980525
"canarias"	2008	38.67	79.797124	37.707053	0.0897623659469771	100.415704878499	20.99	8.81516478096001
"canarias"	2009	39.02	80.9093	34.447021	-5.56971585008968	100.121747533661	26.77	7.60459165243974
"canarias"	2010	39.43	81.385277	33.341237	0.42487253823853	99.8955476107577	28.78	7.36363469008302
"canarias"	2011	39.81	81.287095	31.766846	-1.48822856005176	99.6632487715668	30.33	6.67679470596007
"canarias"	2012	40.22	81.442221	31.388812	-3.42057396928054	99.4478883423845	32.6	8.92206364971884
"canarias"	2013	40.55	82.051241	29.028288	-0.784724038713047	99.2406267955767	33.09	8.73185602915779
"cantabria"	2002	41.95	80.106813	32.716257	6.11991301646473	95.2153299517969	10.58	5.3478401180213
"cantabria"	2003	42.11	80.386573	34.764927	4.268149882904	95.3543416222133	10.42	6.18530444432316
"cantabria"	2004	42.27	80.820055	35.95068	5.36807232298275	95.4311198159766	11.1	4.32600795985465
"cantabria"	2005	42.43	81.072637	37.213216	6.68265387689846	95.5775758924845	8.01	5.51298307514196
"cantabria"	2006	42.59	80.991319	36.913802	6.03426744592639	95.7436031727436	5.87	4.4007034084328
"cantabria"	2007	42.76	80.991028	37.826485	5.69557638856173	95.8098181109656	4.72	2.79317905674343
"cantabria"	2008	42.83	81.619273	41.271212	1.84524870743448	96.2247487941106	8.81	4.12273378477268
"cantabria"	2009	42.84	81.955401	39.563	-4.46389496717725	96.0848585690516	12.7	5.60048198087351
"cantabria"	2010	43.04	82.060731	39.727699	-0.348144754924407	95.9023415663587	14.67	3.37695230054875
"cantabria"	2011	43.29	82.419402	38.581296	-2.15592534706261	95.5887735821058	15.92	6.2381874861959
"cantabria"	2012	43.52	82.544889	37.1548	-3.70213765562603	95.4377316018456	19.19	6.06202461518773
"cantabria"	2013	43.79	82.965086	36.254864	-2.53695662779919	95.1847516034889	19.81	5.40642824318114
"castilla - la mancha"	2002	40.73	80.368954	39.669959	6.48789571694599	99.5449308046237	9.85	8.02452024030913
"castilla - la mancha"	2003	40.74	80.517177	40.826086	6.45635142697258	99.9483551273228	9.8	8.20583539534779
"castilla - la mancha"	2004	40.78	80.899246	40.831171	5.3157237663447	100.271559283222	10.2	9.2488375401121
"castilla - la mancha"	2005	40.76	80.829485	40.68046	6.94409782879959	100.771968790632	9.42	8.02251794114744
"castilla - la mancha"	2006	40.75	81.677456	42.481398	6.49320343037165	100.985340037487	8.05	7.29715085073911
